,val_loss,val_accuracy,loss,accuracy
0,1.3372971435546874,0.5145999789237976,1.7255454076004029,0.3628599941730499
1,1.2163254440307618,0.5564000010490417,1.3167338515090943,0.5253999829292297
2,1.0136056100845336,0.6470999717712402,1.1491042964553833,0.5907400250434875
3,0.9060482189178467,0.6841999888420105,1.0297123320770263,0.6359999775886536
4,0.8426632836341857,0.7031000256538391,0.9514496393966675,0.663640022277832
5,0.8286536207199097,0.711899995803833,0.8971278010940552,0.6843199729919434
6,0.797580338191986,0.722000002861023,0.8470368274116516,0.7016800045967102
7,0.7475022529602051,0.7390999794006348,0.8221548107910156,0.713919997215271
8,0.7552549741744995,0.7376000285148621,0.7864173021697998,0.7259200215339661
9,0.7731955089569091,0.7322999835014343,0.7624701187705993,0.7338799834251404
10,0.7819733282089233,0.7328000068664551,0.7450680113601684,0.7389799952507019
11,0.800447687625885,0.7265999913215637,0.723157905216217,0.7463399767875671
12,0.7650262854576111,0.7418000102043152,0.708434262599945,0.7533199787139893
13,0.7136858388900756,0.7581999897956848,0.688336245212555,0.7603600025177002
14,0.7720623369216919,0.7372000217437744,0.6838691349315643,0.7598000168800354
15,0.6860327079772949,0.7585999965667725,0.6760944676494598,0.7658399939537048
16,0.7802779217720032,0.7440000176429749,0.6612988659954071,0.7707200050354004
17,0.7369033228874207,0.7594000101089478,0.6578271285247803,0.7713800072669983
18,0.6969247798919678,0.7639999985694885,0.6523614637947083,0.7732200026512146
19,0.6925177298545837,0.7646999955177307,0.647968279747963,0.7738199830055237
