,recall,precision
413,0.8723334470402997,0.9228793670825383
414,0.8726826989040308,0.9226325386726969
415,0.8730311102089143,0.9223852886940602
416,0.8733786849912526,0.9221376157041332
417,0.8737254272583451,0.9218895182530047
418,0.874071340988765,0.9216409948832962
419,0.8744164301326335,0.9213920441301102
420,0.8747606986118894,0.9211426645209791
421,0.875104150320558,0.9208928545758122
422,0.8754467891250141,0.9206426128068431
423,0.8757886188642442,0.9203919377185772
424,0.8761296433501039,0.9201408278077374
425,0.8764698663675731,0.9198892815632103
426,0.876809291675008,0.9196372974659912
427,0.8771479230043907,0.91938487398913
428,0.8774857640615747,0.9191320095976747
429,0.8778228185265289,0.918878702748616
430,0.8781590900535772,0.9186249518908306
431,0.8784945822716375,0.9183707554650238
432,0.8788292987844551,0.918116111903673
433,0.8791632431708369,0.9178610196309689
434,0.8794964189848792,0.9176054770627572
435,0.8798288297561954,0.9173494826064796
436,0.8801604789901406,0.9170930346611141
437,0.8804913701680332,0.9168361316171155
438,0.8808215067473738,0.9165787718563537
439,0.8811508921620624,0.9163209537520538
440,0.8814795298226129,0.9160626756687335
441,0.881807423116364,0.9158039359621412
442,0.8821345754076899,0.9155447329791929
443,0.8824609900382067,0.9152850650579097
444,0.8827866703269772,0.9150249305273525
445,0.883111619570714,0.9147643277075588
446,0.8834358410439789,0.9145032549094766
447,0.8837593379993813,0.9142417104348994
448,0.8840821136677744,0.9139796925763997
449,0.884404171258448,0.9137171996172617
450,0.8847255139593202,0.9134542298314146
451,0.8850461449371274,0.913190781483364
452,0.8853660673376107,0.9129268528281231
453,0.8856852842857014,0.9126624421111436
454,0.8860037988857041,0.9123975475682458
455,0.8863216142214784,0.9121321674255475
456,0.8866387333566168,0.9118662998993933
457,0.8869551593346231,0.9115999431962823
458,0.8872708951790871,0.9113330955127957
459,0.8875859438938581,0.9110657550355231
460,0.8879003084632161,0.9107979199409896
461,0.8882139918520419,0.9105295883955796
462,0.8885269970059844,0.9102607585554631
463,0.888839326851627,0.9099914285665186
464,0.8891509842966513,0.9097215965642567
465,0.88946197223,0.9094512606737428
466,0.8897722935220375,0.9091804190095188
467,0.8900819510247081,0.9089090696755241
468,0.8903909475716945,0.9086372107650161
469,0.8906992859785725,0.9083648403604897
470,0.8910069690429654,0.9080919565335963
471,0.8913139995446959,0.9078185573450619
472,0.8916203802459371,0.9075446408446041
473,0.8919261138913618,0.9072702050708489
474,0.8922312032082889,0.9069952480512464
475,0.8925356509068312,0.9067197678019856
476,0.8928394596800381,0.9064437623279089
477,0.8931426322040397,0.9061672296224248
478,0.8934451711381878,0.9058901676674208
479,0.8937470791251958,0.9056125744331749
480,0.8940483587912773,0.9053344478782664
481,0.8943490127462832,0.905055785949486
482,0.8946490435838373,0.9047765865817443
483,0.8949484538814709,0.9044968476979809
484,0.8952472462007546,0.9042165672090705
485,0.8955454230874311,0.9039357430137304
486,0.8958429870715447,0.9036543729984253
487,0.8961399406675703,0.9033724550372721
488,0.8964362863745402,0.9030899869919436
489,0.8967320266761712,0.9028069667115709
490,0.8970271640409895,0.9025233920326454
491,0.8973217009224534,0.9022392607789196
492,0.8976156397590767,0.9019545707613065
493,0.897908982974549,0.9016693197777788
494,0.8982017329778562,0.9013835056132664
495,0.8984938921633993,0.9010971260395538
496,0.8987854629111107,0.9008101788151751
497,0.8990764475865726,0.9005226616853091
498,0.89936684854113,0.9002345723816731
499,0.8996566681120063,0.8999459086224152
500,0.8999459086224152,0.8996566681120063
501,0.9002345723816731,0.89936684854113
502,0.9005226616853091,0.8990764475865726
503,0.9008101788151751,0.8987854629111107
504,0.9010971260395538,0.8984938921633993
505,0.9013835056132664,0.8982017329778562
506,0.9016693197777788,0.897908982974549
507,0.9019545707613065,0.8976156397590767
508,0.9022392607789196,0.8973217009224534
509,0.9025233920326454,0.8970271640409895
510,0.9028069667115709,0.8967320266761712
511,0.9030899869919436,0.8964362863745402
512,0.9033724550372721,0.8961399406675703
513,0.9036543729984253,0.8958429870715447
514,0.9039357430137304,0.8955454230874311
515,0.9042165672090705,0.8952472462007546
516,0.9044968476979809,0.8949484538814709
517,0.9047765865817443,0.8946490435838373
518,0.905055785949486,0.8943490127462832
519,0.9053344478782664,0.8940483587912773
520,0.9056125744331749,0.8937470791251958
521,0.9058901676674208,0.8934451711381878
522,0.9061672296224248,0.8931426322040397
523,0.9064437623279089,0.8928394596800381
524,0.9067197678019856,0.8925356509068312
525,0.9069952480512464,0.8922312032082889
526,0.9072702050708489,0.8919261138913618
527,0.9075446408446041,0.8916203802459371
528,0.9078185573450619,0.8913139995446959
529,0.9080919565335963,0.8910069690429654
530,0.9083648403604897,0.8906992859785725
531,0.9086372107650161,0.8903909475716945
532,0.9089090696755241,0.8900819510247081
533,0.9091804190095188,0.8897722935220375
534,0.9094512606737428,0.88946197223
535,0.9097215965642567,0.8891509842966513
536,0.9099914285665186,0.888839326851627
537,0.9102607585554631,0.8885269970059844
538,0.9105295883955796,0.8882139918520419
539,0.9107979199409896,0.8879003084632161
